code,tradeStatus,name
600000,1,浦发银行
600004,1,白云机场
600006,1,东风股份
600007,1,中国国贸
600008,1,首创环保
600009,1,上海机场
600010,1,包钢股份
600011,1,华能国际
600012,1,皖通高速
600015,1,华夏银行
600016,1,民生银行
600017,1,日照港
600018,1,上港集团
600019,1,宝钢股份
600020,1,中原高速
600021,1,上海电力
600022,1,山东钢铁
600023,1,浙能电力
600025,1,华能水电
600026,1,中远海能
600027,1,华电国际
600028,1,中国石化
600029,1,南方航空
600030,1,中信证券
600031,1,三一重工
600032,1,浙江新能
600033,1,福建高速
600035,1,楚天高速
600036,1,招商银行
600037,1,歌华有线
600038,1,中直股份
600039,1,四川路桥
600048,1,保利发展
600050,1,中国联通
600051,1,宁波联合
600052,1,东望时代
600053,1,*ST九鼎
600054,1,黄山旅游
600055,1,万东医疗
600056,1,中国医药
600057,1,厦门象屿
600058,1,五矿发展
600059,1,古越龙山
600060,1,海信视像
600061,1,国投资本
600062,1,华润双鹤
600063,1,皖维高新
600064,1,南京高科
600066,1,宇通客车
600067,1,冠城新材
600070,1,*ST富润
600071,1,凤凰光学
600072,1,中船科技
600073,1,光明肉业
600075,1,新疆天业
600076,1,康欣新材
600078,1,澄星股份
600079,1,ST人福
600080,1,ST金花
600081,1,东风科技
600082,1,ST海泰
600083,1,*ST博信
600084,1,*ST尼雅
600085,1,同仁堂
600088,1,中视传媒
600089,1,特变电工
600094,1,大名城
600095,1,湘财股份
600096,1,云天化
600097,1,开创国际
600098,1,广州发展
600099,1,林海股份
600100,1,同方股份
600101,1,明星电力
600103,1,青山纸业
600104,1,上汽集团
600105,1,永鼎股份
600106,1,重庆路桥
600107,1,*ST尔雅
600108,1,亚盛集团
600109,1,国金证券
600110,1,诺德股份
600111,1,北方稀土
600112,1,*ST天成
600113,1,浙江东日
600114,1,东睦股份
600115,1,中国东航
600116,1,三峡水利
600117,1,西宁特钢
600118,1,中国卫星
600119,1,*ST长投
600120,1,浙江东方
600121,1,郑州煤电
600123,1,兰花科创
600125,1,铁龙物流
600126,1,杭钢股份
600127,1,金健米业
600128,1,苏豪弘业
600129,1,太极集团
600130,1,波导股份
600131,1,国网信通
600132,1,重庆啤酒
600133,1,东湖高新
600135,1,乐凯胶片
600136,1,ST明诚
600137,1,浪莎股份
600138,1,中青旅
600141,1,兴发集团
600143,1,金发科技
600148,1,长春一东
600149,1,廊坊发展
600150,1,中国船舶
600151,1,航天机电
600152,1,维科技术
600153,1,建发股份
600155,1,华创云信
600156,1,华升股份
600157,1,永泰能源
600158,1,中体产业
600159,1,大龙地产
600160,1,巨化股份
600161,1,天坛生物
600162,1,香江控股
600163,1,中闽能源
600165,1,ST宁科
600166,1,福田汽车
600167,1,联美控股
600168,1,武汉控股
600169,1,ST太重
600170,1,上海建工
600171,1,上海贝岭
600172,1,黄河旋风
600173,1,卧龙新能
600176,1,中国巨石
600177,1,雅戈尔
600178,1,东安动力
600179,0,安通控股
600180,1,*ST瑞茂
600182,1,S佳通
600183,1,生益科技
600184,1,光电股份
600185,1,珠免集团
600186,1,莲花控股
600187,1,*ST国中
600188,1,兖矿能源
600189,1,泉阳泉
600190,1,退市锦港
600191,1,华资实业
600192,1,长城电工
600193,1,退市创兴
600195,1,中牧股份
600196,1,复星医药
600197,1,伊力特
600198,1,大唐电信
600199,1,金种子酒
600200,1,退市苏吴
600201,1,生物股份
600202,1,哈空调
600203,1,福日电子
600206,1,有研新材
600207,1,安彩高科
600208,1,衢州发展
600210,1,紫江企业
600211,1,西藏药业
600212,1,绿能慧充
600213,1,*ST亚星
600215,1,派斯林
600216,1,浙江医药
600217,1,中再资环
600218,1,全柴动力
600219,1,南山铝业
600220,1,ST阳光
600221,1,海航控股
600222,1,太龙药业
600223,1,福瑞达
600225,1,退市卓朗
600226,1,亨通股份
600227,1,赤天化
600228,1,*ST返利
600229,1,城市传媒
600230,1,沧州大化
600231,1,凌钢股份
600232,1,金鹰股份
600233,1,圆通速递
600234,1,科新发展
600235,1,民丰特纸
600236,1,桂冠电力
600237,1,铜峰电子
600238,1,*ST椰岛
600239,1,ST云城
600241,1,时代万恒
600243,1,*ST海华
600246,1,万通发展
600248,1,陕建股份
600249,1,两面针
600250,0,南京商旅
600251,1,冠农股份
600252,1,中恒集团
600255,1,鑫科材料
600256,1,广汇能源
600257,1,大湖股份
600258,1,首旅酒店
600259,1,中稀有色
600261,1,阳光照明
600262,1,北方股份
600265,1,*ST景谷
600266,1,城建发展
600267,1,海正药业
600268,1,国电南自
600269,1,赣粤高速
600271,1,航天信息
600272,1,开开实业
600273,1,嘉化能源
600276,1,恒瑞医药
600277,1,ST亿利
600278,1,东方创业
600279,1,重庆港
600280,1,中央商场
600281,1,华阳新材
600282,1,南钢股份
600283,1,钱江水利
600284,1,浦东建设
600285,1,羚锐制药
600287,1,苏豪时尚
600288,1,大恒科技
600289,1,ST信通
600292,1,电投水电
600293,1,三峡新材
600295,1,鄂尔多斯
600297,1,广汇汽车
600298,1,安琪酵母
600299,1,安迪苏
600300,1,维维股份
600301,1,华锡有色
600302,1,ST标准
600303,1,曙光股份
600305,1,恒顺醋业
600306,1,退市商城
600307,1,酒钢宏兴
600308,1,华泰股份
600309,1,万华化学
600310,1,广西能源
600312,1,平高电气
600313,1,农发种业
600315,1,上海家化
600316,1,洪都航空
600318,1,新力金融
600319,1,亚星化学
600320,1,振华重工
600321,0,正源股份
600322,1,津投城开
600323,1,瀚蓝环境
600325,1,华发股份
600326,1,西藏天路
600327,1,大东方
600328,1,中盐化工
600329,1,达仁堂
600330,1,天通股份
600331,1,宏达股份
600332,1,白云山
600333,1,长春燃气
600335,1,国机汽车
600336,1,澳柯玛
600337,1,ST美克
600338,1,西藏珠峰
600339,1,中油工程
600340,1,*ST华幸
600343,1,航天动力
600345,1,长江通信
600346,1,恒力石化
600348,1,华阳股份
600350,1,山东高速
600351,1,亚宝药业
600352,1,浙江龙盛
600353,1,旭光电子
600354,1,敦煌种业
600355,1,*ST精伦
600356,1,恒丰纸业
600358,1,国旅联合
600359,1,新农开发
600360,1,华微电子
600361,1,创新新材
600362,1,江西铜业
600363,1,联创光电
600365,1,ST通葡
600366,1,宁波韵升
600367,1,红星发展
600368,1,五洲交通
600369,1,西南证券
600370,1,*ST三房
600371,1,万向德农
600372,1,中航机载
600373,1,中文传媒
600375,1,汉马科技
600376,1,首开股份
600377,1,宁沪高速
600378,1,昊华科技
600379,1,宝光股份
600380,1,健康元
600381,1,*ST春天
600382,1,广东明珠
600383,1,金地集团
600386,1,北巴传媒
600387,1,退市海越
600388,1,龙净环保
600389,1,江山股份
600390,1,五矿资本
600391,1,航发科技
600392,1,盛和资源
600395,1,盘江股份
600396,1,华电辽能
600397,1,江钨装备
600398,1,海澜之家
600399,1,抚顺特钢
600400,1,红豆股份
600403,1,大有能源
600405,1,动力源
600406,1,国电南瑞
600408,1,安泰集团
600409,1,三友化工
600410,1,华胜天成
600415,1,小商品城
600416,1,湘电股份
600418,1,江淮汽车
600419,1,天润乳业
600420,1,国药现代
600421,1,退市华嵘
600422,1,昆药集团
600423,1,*ST柳化
600425,1,青松建化
600426,1,华鲁恒升
600428,1,中远海特
600429,1,三元股份
600433,1,冠豪高新
600435,1,北方导航
600436,1,片仔癀
600438,1,通威股份
600439,1,瑞贝卡
600444,1,国机通用
600446,1,金证股份
600448,1,华纺股份
600449,1,宁夏建材
600452,1,涪陵电力
600455,1,博通股份
600456,1,宝钛股份
600458,1,时代新材
600459,1,贵研铂业
600460,1,士兰微
600461,1,洪城环境
600462,1,退市九有
600463,1,空港股份
600467,1,好当家
600468,1,百利电气
600469,1,风神股份
600470,1,六国化工
600475,1,华光环能
600476,1,*ST湘邮
600477,1,杭萧钢构
